ID,TA,HM
20260818_112,30.1,61.71
20260818_114,31.24,51.11
20260818_115,26.48,87.87
20260818_119,30.84,56.53
20260818_121,31.48,53.91
20260818_127,31.41,55.28
20260818_129,31.14,60.62
20260818_130,28.7,74.6
20260818_131,31.76,51.03
20260818_133,31.16,60.53
20260818_135,30.56,58.25
20260818_136,31.78,58.07
20260818_137,32.11,58.98
20260818_138,26.98,79.59
20260818_140,30.68,66.39
20260818_143,30.55,57.06
20260818_146,32.28,55.39
20260818_152,25.25,92.02
20260818_155,29.82,76.2
20260818_156,32.07,61.02
20260818_159,27.55,79.15
20260818_162,28.24,81.77
20260818_165,30.52,67.78
20260818_168,29.19,74.11
20260818_169,31.53,65.58
20260818_170,31.6,68.62
20260818_172,32.2,57.29
20260818_174,31.15,59.01
20260818_177,31.55,58.73
20260818_181,30.22,58.47
20260818_184,27.74,84.87
20260818_185,27.62,91.03
20260818_188,28.36,81.89
20260818_189,29.33,80.88
20260818_192,30.05,67.85
20260818_201,29.14,68.64
20260818_202,30.68,55.86
20260818_203,31.55,62.39
20260818_211,30.18,57.67
20260818_212,31.27,53.47
20260818_216,29.12,54.73
20260818_217,32.3,52.82
20260818_221,29.83,61.03
20260818_226,30.31,57.67
20260818_232,31.01,58.16
20260818_235,31.16,61.78
20260818_236,31.61,56.88
20260818_238,31.46,55.86
20260818_239,31.19,58.52
20260818_243,31.37,61.28
20260818_244,31.31,54.51
20260818_245,33.1,53.27
20260818_247,32.47,52.33
20260818_248,30.4,57.16
20260818_252,31.79,60.42
20260818_253,27.99,83.66
20260818_254,32.28,52.5
20260818_255,30.23,73.63
20260818_257,28.31,86.6
20260818_258,31.3,65.31
20260818_259,32.22,60.39
20260818_260,31.14,64.36
20260818_261,31.57,67.53
20260818_262,31.07,62.79
20260818_263,31.39,66.41
20260818_264,32.8,55.68
20260818_266,31.88,59.25
20260818_268,30.25,68.41
20260818_271,29.92,59.83
20260818_272,30.45,59.87
20260818_273,31.03,62.28
20260818_276,32.66,56.3
20260818_277,29.89,67.85
20260818_278,32.76,51.12
20260818_279,32.05,53.47
20260818_281,29.29,66.01
20260818_283,27.5,83.24
20260818_284,31.85,57.32
20260818_285,31.33,63.62
20260818_288,28.97,77.81
20260818_289,31.27,64.96
20260818_294,26.37,87.23
20260818_295,29.19,74.51
20260818_296,27.81,85.03
20260818_90,28.79,68.09
20260818_93,31.38,56.5
20260818_95,30.42,58.78
20260818_98,31.32,60.47
20260818_99,30.75,62.11
20260819_100,27.14,65.06
20260819_101,30.13,63.9
20260819_102,26.8,79.41
20260819_104,30.07,63.55
20260819_105,31.77,52.57
20260819_106,29.24,70.3
20260819_108,29.68,63.06
20260819_112,29.22,68.97
20260819_114,31.36,52.18
20260819_115,29.44,72.03
20260819_119,29.59,61.76
20260819_121,31.27,51.68
20260819_127,31.69,53.99
20260819_129,29.22,67.65
20260819_130,28.17,73.17
20260819_131,31.5,56.14
20260819_133,31.81,57.93
20260819_135,29.34,63.03
20260819_136,30.18,66.42
20260819_137,30.91,66.18
20260819_138,30.3,67.08
20260819_140,30.81,66.08
20260819_143,27.78,79.74
20260819_146,27.9,84.08
20260819_152,30.71,67.38
20260819_155,32.2,59.71
20260819_156,27.5,86.33
20260819_159,31.18,64.44
20260819_162,30.66,69.65
20260819_165,29.73,73.38
20260819_168,30.61,66.93
20260819_169,26.87,90.06
20260819_170,29.53,79.68
20260819_172,26.1,93.72
20260819_174,28.24,74.56
20260819_177,30.65,64.42
20260819_181,30.15,63.83
20260819_184,32.18,67.19
20260819_185,30.2,76.89
20260819_188,30.83,70.32
20260819_189,31.19,68.66
20260819_192,28.87,75.95
20260819_201,29.17,68.62
20260819_202,29.43,61.57
20260819_203,30.66,62.01
20260819_211,27.78,63.85
20260819_212,28.28,65.12
20260819_216,29.79,45.35
20260819_217,31.38,55.54
20260819_221,29.15,61.7
20260819_226,29.99,60.02
20260819_232,30.22,60.74
20260819_235,29.71,72.16
20260819_236,29.51,69.06
20260819_238,29.85,65.8
20260819_239,30.48,62.07
20260819_243,27.71,80.61
20260819_244,26.01,87.26
20260819_245,26.64,84.22
20260819_247,26.66,88.03
20260819_248,25.46,86.02
20260819_252,26.96,87.57
20260819_253,32.03,64.11
20260819_254,27.0,82.38
20260819_255,33.19,61.05
20260819_257,33.0,61.45
20260819_258,30.73,69.47
20260819_259,30.36,73.83
20260819_260,29.94,75.33
20260819_261,30.36,73.74
20260819_262,31.82,64.34
20260819_263,29.56,71.97
20260819_264,27.43,86.74
20260819_266,30.24,74.79
20260819_268,30.36,70.3
20260819_271,30.15,51.51
20260819_272,30.01,59.33
20260819_273,30.08,66.36
20260819_276,29.36,72.24
20260819_277,28.7,74.95
20260819_278,29.68,70.85
20260819_279,28.14,77.27
20260819_281,29.43,66.65
20260819_283,30.9,66.68
20260819_284,27.19,84.27
20260819_285,27.74,83.37
20260819_288,30.38,64.42
20260819_289,26.72,90.57
20260819_294,30.61,66.39
20260819_295,30.23,69.04
20260819_296,32.01,63.71
20260819_90,29.37,62.15
20260819_93,29.11,75.19
20260819_95,28.84,63.93
20260819_98,29.1,68.88
20260819_99,29.14,68.29
20260820_100,24.13,80.53
20260820_101,28.1,69.2
20260820_102,25.59,88.3
20260820_104,26.75,84.64
20260820_105,28.33,68.36
20260820_106,26.51,79.37
20260820_108,27.07,81.16
20260820_112,26.43,85.47
20260820_114,27.89,73.78
20260820_115,26.78,87.8
20260820_119,27.2,79.56
20260820_121,29.1,64.22
20260820_127,29.12,68.92
20260820_129,28.6,79.97
20260820_130,27.37,76.39
20260820_131,29.87,68.58
20260820_133,30.81,67.57
20260820_135,28.62,69.72
20260820_136,29.64,66.64
20260820_137,30.77,66.77
20260820_138,28.62,75.03
20260820_140,30.86,72.76
20260820_143,31.2,54.82
20260820_146,32.33,60.24
20260820_152,30.41,63.39
20260820_155,32.98,60.84
20260820_156,32.24,68.5
20260820_159,32.19,61.54
20260820_162,31.43,65.36
20260820_165,32.07,62.94
20260820_168,30.92,67.7
20260820_169,28.78,83.46
20260820_170,32.62,67.03
20260820_172,32.77,63.24
20260820_174,31.46,60.49
20260820_177,29.31,76.67
20260820_181,28.43,73.12
20260820_184,32.29,65.14
20260820_185,30.48,79.68
20260820_188,30.39,76.48
20260820_189,30.65,77.49
20260820_192,32.46,62.99
20260820_201,25.9,91.19
20260820_202,26.37,80.48
20260820_203,27.78,87.77
20260820_211,27.52,69.43
20260820_212,26.69,77.58
20260820_216,26.55,64.18
20260820_217,28.3,69.75
20260820_221,27.12,71.32
20260820_226,28.76,66.26
20260820_232,28.64,77.88
20260820_235,30.36,71.11
20260820_236,30.52,70.9
20260820_238,30.85,61.47
20260820_239,29.71,70.85
20260820_243,31.08,63.2
20260820_244,31.1,59.39
20260820_245,32.12,60.94
20260820_247,32.59,58.32
20260820_248,30.63,60.93
20260820_252,32.31,63.39
20260820_253,31.99,66.52
20260820_254,32.58,57.31
20260820_255,34.07,59.2
20260820_257,34.17,56.6
20260820_258,31.76,68.33
20260820_259,32.18,66.41
20260820_260,30.96,71.15
20260820_261,31.89,71.66
20260820_262,32.12,65.11
20260820_263,33.41,58.47
20260820_264,32.0,64.06
20260820_266,32.28,64.01
20260820_268,30.54,69.05
20260820_271,28.08,66.34
20260820_272,26.6,87.37
20260820_273,27.29,84.32
20260820_276,29.49,69.83
20260820_277,26.24,77.74
20260820_278,30.5,66.34
20260820_279,30.62,66.41
20260820_281,29.7,67.55
20260820_283,30.21,70.14
20260820_284,31.7,60.19
20260820_285,32.48,57.19
20260820_288,34.89,47.02
20260820_289,31.71,66.09
20260820_294,31.74,63.84
20260820_295,31.42,64.26
20260820_296,32.44,63.29
20260820_90,26.09,83.48
20260820_93,27.51,76.73
20260820_95,28.33,69.81
20260820_98,27.21,77.85
20260820_99,27.09,81.89
20260821_100,23.1,91.17
20260821_101,26.69,82.22
20260821_102,24.65,92.19
20260821_104,25.26,89.87
20260821_105,26.1,79.6
20260821_106,26.24,85.79
20260821_108,26.47,82.88
20260821_112,26.1,83.52
20260821_114,26.37,82.21
20260821_115,27.65,83.11
20260821_119,25.33,90.72
20260821_121,25.93,87.06
20260821_127,26.1,86.97
20260821_129,25.84,93.45
20260821_130,25.57,88.18
20260821_131,26.5,84.2
20260821_133,26.46,90.78
20260821_135,27.45,80.8
20260821_136,28.66,72.98
20260821_137,28.07,83.55
20260821_138,28.0,83.3
20260821_140,26.95,89.11
20260821_143,30.86,58.37
20260821_146,29.49,78.1
20260821_152,30.53,72.05
20260821_155,31.51,68.38
20260821_156,31.3,74.45
20260821_159,31.92,67.95
20260821_162,31.32,68.63
20260821_165,31.09,70.02
20260821_168,31.29,65.21
20260821_169,28.56,80.76
20260821_170,32.24,71.92
20260821_172,31.29,69.75
20260821_174,30.17,69.41
20260821_177,25.93,93.31
20260821_181,25.07,88.81
20260821_184,34.05,57.46
20260821_185,31.26,78.33
20260821_188,31.6,74.31
20260821_189,31.41,75.77
20260821_192,31.9,67.05
20260821_201,26.14,88.2
20260821_202,25.45,88.42
20260821_203,25.11,95.39
20260821_211,26.09,79.39
20260821_212,25.7,87.69
20260821_216,23.77,84.25
20260821_217,26.38,79.68
20260821_221,24.72,91.33
20260821_226,26.51,89.32
20260821_232,24.99,95.47
20260821_235,26.38,86.83
20260821_236,26.14,90.34
20260821_238,27.25,87.43
20260821_239,25.71,94.23
20260821_243,28.89,77.81
20260821_244,29.07,72.52
20260821_245,30.62,72.31
20260821_247,31.14,67.8
20260821_248,28.69,72.52
20260821_252,30.92,68.85
20260821_253,33.02,68.46
20260821_254,31.04,64.52
20260821_255,32.02,69.12
20260821_257,34.35,61.01
20260821_258,32.3,69.59
20260821_259,31.95,71.49
20260821_260,31.34,71.79
20260821_261,31.74,73.6
20260821_262,33.03,65.34
20260821_263,31.82,69.08
20260821_264,31.68,66.81
20260821_266,32.36,63.48
20260821_268,31.17,68.82
20260821_271,25.26,86.29
20260821_272,25.76,88.96
20260821_273,27.99,79.94
20260821_276,27.81,78.5
20260821_277,25.19,87.87
20260821_278,29.34,75.71
20260821_279,30.01,72.51
20260821_281,30.44,64.82
20260821_283,29.24,76.04
20260821_284,29.89,74.5
20260821_285,31.33,67.35
20260821_288,33.07,54.56
20260821_289,31.25,65.99
20260821_294,31.42,68.61
20260821_295,31.58,65.89
20260821_296,33.58,62.61
20260821_90,25.85,87.67
20260821_93,26.31,88.81
20260821_95,25.61,94.06
20260821_98,26.18,85.52
20260821_99,25.46,92.86
20260822_100,24.77,84.33
20260822_101,26.0,87.71
20260822_102,22.87,95.14
20260822_104,26.59,88.47
20260822_105,27.32,77.36
20260822_106,28.02,82.53
20260822_108,24.54,89.12
20260822_112,23.38,93.85
20260822_114,29.9,67.82
20260822_115,27.2,85.81
20260822_119,23.78,91.45
20260822_121,31.77,57.73
20260822_127,31.42,60.34
20260822_129,26.05,81.59
20260822_130,27.1,84.85
20260822_131,30.77,61.07
20260822_133,32.2,66.62
20260822_135,30.86,65.33
20260822_136,32.72,61.61
20260822_137,31.99,66.77
20260822_138,30.05,69.0
20260822_140,32.33,66.91
20260822_143,32.91,56.98
20260822_146,34.05,60.73
20260822_152,31.65,64.17
20260822_155,32.14,69.47
20260822_156,32.62,66.52
20260822_159,32.25,66.27
20260822_162,32.12,68.54
20260822_165,31.7,64.06
20260822_168,30.08,72.96
20260822_169,29.75,80.14
20260822_170,32.61,68.89
20260822_172,32.69,62.13
20260822_174,30.61,66.26
20260822_177,27.38,84.23
20260822_181,28.5,75.11
20260822_184,31.48,65.34
20260822_185,30.06,80.01
20260822_188,30.5,74.45
20260822_189,30.02,81.03
20260822_192,31.55,67.51
20260822_201,22.37,96.88
20260822_202,27.08,78.93
20260822_203,28.03,83.73
20260822_211,25.69,86.94
20260822_212,26.6,86.11
20260822_216,26.39,69.57
20260822_217,32.58,51.47
20260822_221,29.24,70.89
20260822_226,29.86,67.14
20260822_232,28.9,80.8
20260822_235,30.61,75.96
20260822_236,30.51,70.25
20260822_238,32.07,61.79
20260822_239,30.65,72.16
20260822_243,32.44,61.53
20260822_244,32.01,60.94
20260822_245,33.68,59.87
20260822_247,33.03,59.65
20260822_248,31.17,63.16
20260822_252,32.82,62.09
20260822_253,32.13,70.52
20260822_254,32.93,58.51
20260822_255,33.66,64.73
20260822_257,32.99,63.89
20260822_258,32.1,66.7
20260822_259,32.6,64.01
20260822_260,31.72,65.61
20260822_261,31.82,69.91
20260822_262,32.4,61.31
20260822_263,33.22,64.99
20260822_264,32.95,67.38
20260822_266,32.0,66.28
20260822_268,30.37,73.74
20260822_271,29.35,65.74
20260822_272,30.61,65.01
20260822_273,30.86,71.4
20260822_276,32.73,62.44
20260822_277,29.85,72.01
20260822_278,32.97,61.29
20260822_279,32.38,62.65
20260822_281,31.58,63.7
20260822_283,31.68,67.09
20260822_284,31.06,69.9
20260822_285,32.25,64.64
20260822_288,33.45,56.26
20260822_289,31.52,69.79
20260822_294,30.09,74.71
20260822_295,30.83,69.25
20260822_296,32.65,66.7
20260822_90,25.87,88.47
20260822_93,25.74,91.87
20260822_95,23.34,97.51
20260822_98,22.62,97.23
20260822_99,22.44,99.18
20260823_100,28.53,66.14
20260823_101,32.0,57.53
20260823_102,27.89,78.1
20260823_104,30.72,64.68
20260823_105,32.38,56.93
20260823_106,29.75,73.99
20260823_108,32.12,59.0
20260823_112,31.0,61.5
20260823_114,32.26,55.4
20260823_115,30.63,74.18
20260823_119,32.04,56.59
20260823_121,31.85,59.82
20260823_127,32.2,60.03
20260823_129,32.03,60.92
20260823_130,29.57,72.96
20260823_131,33.08,52.12
20260823_133,32.88,58.46
20260823_135,30.79,64.88
20260823_136,32.37,58.42
20260823_137,32.41,61.77
20260823_138,33.27,58.04
20260823_140,32.49,62.66
20260823_143,33.07,51.08
20260823_146,32.83,61.67
20260823_152,32.57,61.29
20260823_155,32.14,65.02
20260823_156,31.96,62.42
20260823_159,32.66,61.22
20260823_162,31.85,66.28
20260823_165,31.92,62.3
20260823_168,31.03,63.16
20260823_169,31.99,67.74
20260823_170,32.23,70.53
20260823_172,32.17,64.81
20260823_174,31.01,60.27
20260823_177,32.22,60.24
20260823_181,31.65,60.21
20260823_184,32.11,61.99
20260823_185,29.91,80.1
20260823_188,30.64,72.37
20260823_189,30.93,73.84
20260823_192,32.2,63.35
20260823_201,29.54,68.4
20260823_202,31.5,58.26
20260823_203,31.82,66.48
20260823_211,31.01,59.84
20260823_212,31.49,59.85
20260823_216,30.57,52.61
20260823_217,33.22,51.7
20260823_221,30.93,63.11
20260823_226,31.3,59.71
20260823_232,31.45,61.36
20260823_235,32.43,63.88
20260823_236,32.58,56.65
20260823_238,32.31,60.03
20260823_239,31.6,59.94
20260823_243,31.72,60.49
20260823_244,30.4,60.35
20260823_245,32.44,59.55
20260823_247,32.47,62.3
20260823_248,29.7,63.99
20260823_252,32.44,62.94
20260823_253,32.7,67.31
20260823_254,32.41,57.97
20260823_255,33.4,62.9
20260823_257,34.37,59.95
20260823_258,31.89,68.32
20260823_259,31.88,65.41
20260823_260,31.7,63.69
20260823_261,30.82,67.94
20260823_262,31.77,62.56
20260823_263,33.55,58.82
20260823_264,33.31,54.59
20260823_266,32.62,61.57
20260823_268,31.05,67.59
20260823_271,31.06,56.19
20260823_272,31.0,61.63
20260823_273,31.74,65.65
20260823_276,32.99,57.5
20260823_277,31.9,58.31
20260823_278,32.92,57.35
20260823_279,32.43,58.32
20260823_281,32.72,54.81
20260823_283,34.04,54.83
20260823_284,31.85,57.31
20260823_285,33.28,57.45
20260823_288,33.7,52.29
20260823_289,32.6,63.47
20260823_294,30.54,69.87
20260823_295,31.43,66.16
20260823_296,33.03,62.4
20260823_90,29.3,72.76
20260823_93,31.7,60.16
20260823_95,30.84,65.26
20260823_98,30.77,66.45
20260823_99,30.96,64.32
